과제번호,과제명,진료과,연구책임기관,전체목표연구대상자수,연구기간,연구종류,임상시험단계(연구모형),연구범위
C130010,조직구증식증 임상연구 네트워크 구축 및 운영(HLH),Pediatrics,서울아산병원,120,3년,1,1,1
C130011,대한민국 쇼그렌 증후군 코호트 구축,Rheumatology,가톨릭대 서울성모병원,500,6년,1,1,1
C100002,Lymphoma Study for Auto-PBSCT,Hematology,가톨릭대 서울성모병원,,1년,1,1,2
C110007,"악성림프종의 임상양상과 항암 화학요법의 치료 성적 조사 및 예후 예측 지표 분석, retrospective study",Hematology,가톨릭대 서울성모병원,200,,1,2,2
C140012,우울증 임상연구네트워크구축,Psychiatry,가톨릭대 여의도성모병원,300,11개월,1,1,1
C160041,우울증 임상연구센터,Psychiatry,가톨릭대 여의도성모병원,1183,1년,1,1,1
C140004,소화성궤양 임상연구네트워크 구축사업,Gastroenterology,가톨릭대 인천성모병원,2000,24개월,1,1,1
C110005,희귀난치성질환 호흡재활 중앙관리센터 운영,Rehabilitation Medicine,강남세브란스병원,,11개월,1,2,2
C110004,"지속성외래복막투석(CAPD) 및 자동복막투석(APD) 환자의 삶의 질(QOL)을 비교하기 위한, 전향적, 다기관, 관찰연구",Nephrology,경북대학교병원,300,12개월,2,8,1
C140014,제2형 당뇨병 임상연구네트워크 구축사업,Endocrinology,경희대학교병원,700,120개월,1,1,1
C160013,한국 노인노쇠 코호트 구축 및 중재 연구 사업,Family Medicine,경희대학교병원,3000,5년,1,1,1
C160014,병원 기반 당뇨병 예방 프로그램의 효과 비교를 위한 전향적 대조군 임상 연구,Endocrinology,경희대학교병원,744,3년,2,8,1
C110011,병원 기반 인플루엔자 임상 네트워크,Infectious disease,고려대구로병원,,,1,2,1
C140001,병원 기반 인플루엔자 임상 네트워크(소아청소년),Pediatrics,고려대구로병원,,,1,2,1
C110008,Lamivudine 내성변이가 발생한 만성 B형간염 환자에서 telbivudine과 adefovir dipivoxil 병합요법과 lamivudine과 adefovir dipivoxil 병합요법의 효과를 비교하기 위한 전향적 무작위배정 연구 : 52주간의 pilot 연구,Gastroenterology,고려대안산병원,60,15개월,2,8,1
C110003,복수를 동반한 간경변증 환자의 예후 예측에 대한 혈청 Cystatin C의 유용성,Gastroenterology,고려대안암병원,445,5년,1,2,1
C110012,복수를 동반한 간경변 환자에서 norfloxacin 매일 투여와 ciprofloxacin 주 1회 투여시 자발성 세균성 복막염의 예방 효과 비교,Gastroenterology,고려대안암병원,124,12개월,2,8,1
C130012,한국인 유전성(가족성) 부정맥 질환 임상연구 네트워크 구축,Cardiology,고려대안암병원,250,8년,1,1,1
C160033,"간세포암종 감시 검사로서 biomarker(AFP, AFP-L3, PIVKA-Ⅱ) 검사와 복부 초음파 또는 CT 검사 병행의 유용성",Gastroenterology,고려대학교 안암병원,1418,4년,1,1,1
